iter	Passed	Remaining
657	8118	22726
658	8128	22708
659	8140	22693
660	8151	22678
661	8164	22667
662	8175	22651
663	8186	22635
664	8198	22622
665	8208	22603
666	8218	22586
667	8230	22571
668	8241	22554
669	8253	22543
670	8263	22524
671	8274	22508
672	8286	22494
673	8297	22479
674	8307	22461
675	8318	22445
676	8328	22427
677	8339	22410
678	8350	22393
679	8360	22376
680	8371	22359
681	8382	22344
682	8393	22328
683	8403	22311
684	8414	22295
685	8424	22277
686	8435	22260
687	8446	22244
688	8456	22227
689	8466	22209
690	8477	22192
691	8489	22181
692	8500	22165
693	8511	22149
694	8522	22134
695	8533	22118
696	8545	22104
697	8556	22089
698	8567	22073
699	8577	22056
700	8588	22040
701	8599	22025
702	8609	22007
703	8620	21991
704	8630	21974
705	8641	21959
706	8652	21944
707	8663	21928
708	8674	21913
709	8687	21901
710	8698	21887
711	8710	21873
712	8721	21858
713	8732	21843
714	8742	21826
715	8755	21814
716	8766	21801
717	8778	21787
718	8789	21772
719	8801	21758
720	8812	21743
721	8822	21727
722	8834	21713
723	8846	21700
724	8859	21691
725	8870	21674
726	8879	21656
727	8890	21639
728	8901	21624
729	8911	21607
730	8922	21592
731	8932	21575
732	8943	21558
733	8955	21545
734	8965	21529
735	8975	21512
736	8985	21495
737	8996	21478
738	9006	21462
739	9016	21445
740	9027	21429
741	9038	21413
742	9048	21396
743	9058	21379
744	9068	21362
745	9078	21346
746	9089	21329
747	9100	21315
748	9110	21298
749	9121	21284
750	9131	21266
751	9141	21249
752	9151	21231
753	9162	21216
754	9172	21199
755	9182	21182
756	9192	21165
757	9203	21150
758	9213	21133
759	9223	21116
760	9234	21101
761	9244	21084
762	9253	21066
763	9263	21049
764	9274	21033
765	9283	21015
766	9293	20999
767	9304	20983
768	9314	20967
769	9328	20959
770	9338	20941
771	9348	20925
772	9358	20908
773	9368	20891
774	9378	20873
775	9388	20857
776	9399	20842
777	9409	20826
778	9421	20814
779	9432	20799
780	9442	20784
781	9453	20767
782	9462	20750
783	9473	20734
784	9483	20718
785	9495	20706
786	9507	20693
787	9519	20681
788	9528	20663
789	9539	20647
790	9549	20631
791	9558	20614
792	9569	20598
793	9579	20582
794	9590	20568
795	9600	20552
796	9611	20537
797	9622	20522
798	9634	20511
799	9659	20526
800	9679	20531
801	9697	20532
802	9713	20527
803	9741	20550
804	9752	20535
805	9764	20522
806	9778	20513
807	9794	20510
808	9807	20500
809	9818	20485
810	9828	20469
811	9839	20454
812	9849	20438
813	9861	20425
814	9874	20415
815	9886	20402
816	9898	20390
817	9909	20375
818	9921	20363
819	9931	20347
820	9942	20333
821	9953	20319
822	9965	20306
823	9975	20290
824	9987	20277
825	9998	20264
826	10009	20249
827	10021	20236
828	10032	20222
829	10045	20211
830	10056	20198
831	10068	20186
832	10079	20170
833	10089	20155
834	10100	20141
835	10112	20128
836	10123	20113
837	10134	20099
838	10145	20086
839	10157	20072
840	10168	20058
841	10182	20050
842	10196	20041
843	10209	20030
844	10219	20016
845	10231	20003
846	10243	19991
847	10254	19977
848	10266	19963
849	10277	19950
850	10288	19935
851	10299	19921
852	10311	19909
853	10322	19895
854	10333	19881
855	10344	19867
856	10356	19854
857	10368	19842
858	10379	19827
859	10389	19812
860	10400	19798
861	10412	19786
862	10423	19772
863	10434	19758
864	10447	19746
865	10458	19733
866	10469	19720
867	10481	19707
868	10493	19694
869	10504	19680
870	10515	19666
871	10527	19654
872	10540	19643
873	10551	19629
874	10562	19615
875	10573	19601
876	10583	19586
877	10594	19572
878	10605	19557
879	10615	19541
880	10627	19529
881	10638	19515
882	10649	19502
883	10660	19487
884	10670	19472
885	10680	19455
886	10689	19438
887	10699	19423
888	10709	19407
889	10721	19395
890	10732	19380
891	10743	19366
892	10754	19353
893	10764	19337
894	10774	19322
895	10785	19307
896	10796	19293
897	10806	19277
898	10817	19264
899	10829	19252
900	10840	19238
901	10851	19225
902	10864	19214
903	10876	19201
904	10889	19191
905	10902	19181
906	10913	19168
907	10924	19154
908	10935	19139
909	10947	19128
910	10959	19116
911	10971	19103
912	10982	19090
913	10994	19078
914	11008	19068
915	11019	19055
916	11032	19044
917	11043	19031
918	11057	19023
919	11067	19007
920	11078	18993
921	11089	18979
922	11099	18964
923	11110	18951
924	11121	18936
925	11132	18922
926	11143	18908
927	11152	18891
928	11162	18876
929	11173	18862
930	11182	18845
931	11194	18833
932	11204	18818
933	11216	18805
934	11227	18792
935	11237	18777
936	11247	18762
937	11258	18748
938	11268	18733
939	11278	18717
940	11288	18702
941	11299	18687
942	11310	18674
943	11320	18659
944	11330	18644
945	11340	18629
946	11351	18615
947	11361	18600
948	11372	18587
949	11383	18573
950	11394	18559
951	11404	18544
952	11415	18530
953	11426	18517
954	11437	18503
955	11450	18493
956	11460	18478
957	11471	18464
958	11482	18450
959	11492	18435
960	11501	18419
961	11512	18405
962	11523	18392
963	11533	18377
964	11543	18361
965	11555	18349
966	11565	18335
967	11577	18323
968	11588	18309
969	11598	18295
970	11609	18281
971	11621	18268
972	11631	18253
973	11642	18240
974	11653	18227
975	11664	18213
976	11675	18200
